Configure, Конфигуриране
Close, Затвори
Adjust, Коригирай
Not found, Не е намерен
"Error placing an order. Please try again later.","Грешка при подаване на поръчката. Моля, опитайте отново по-късно."
Error placing an order, Грешка при подаване на поръчка
"Order has been declined.","Поръчката е отказана."
This order was not placed with Mondu, Тази поръчка не е направена в Mondu
Mondu: order with id %1 was adjusted, Mondu: поръчка с id %1 е коригирана
Mondu api error: %1, Грешка в интерфейса на Mondu: %1
"'Mondu api error: ' .", "'Грешка в интерфейса на Mondu: ' ."
Mondu: The order with the id %1 was successfully canceled., Mondu: Поръчката с идентификатор %1 беше успешно анулирана.
Mondu: The order with the id %1 was successfully canceled, Mondu: Поръчката с идентификатор %1 беше успешно анулирана
"Cannot enable Mondu payments: API key is missing.","Не може да се активират плащанията на Mondu: липсва API ключ."
Mondu: order id %1, Mondu: идентификатор на поръчката %1
Mondu: Invalid shipment amount, Mondu: Невалидна сума на пратката
Can't ship order: Mondu order state must be confirmed or partially_shipped, Не мога да изпратя поръчката: Състоянието на поръчката на Mondu трябва да бъде потвърдено или частично_изпратено
Mondu: Invoice is required to ship the order., Mondu: За изпращане на поръчката се изисква фактура.
Mondu: invoice created with id %1, Mondu: създадена е фактура с идентификатор %1
Mondu: You cant partially refund order before shipment, Mondu: Не можете да възстановите частично поръчката преди изпращането
Mondu: Something went wrong, Mondu: Нещо се обърка
Authorize, Оторизирай
something went wrong, Нещо се обърка
No order uid provided to adjust the order, Не е предоставен uid на поръчката за коригиране на поръчката
"%1 method is not supported.", "Методът %1 не се поддържа."
Success, Успех
Fraud, Измама
Place Order, Направи поръчка
Api Configuration, Конфигурация на Api
Api key, Ключ на интерфейса
Send order line items, Изпращане на елементите на поръчката
"Require invoice for shipment", Изискване на фактура за изпращане
Sandbox mode, Режим Sandbox
General configuration, Обща конфигурация
New Order Status, Статус на нова поръчка
Payment From Applicable Countries, Плащане от приложими държави
Payment From Specific Countries, Плащане от конкретни държави
Enable automatic order processing, Активиране на автоматична обработка на поръчки
Enable Logs, Активиране на дневници
General Information, Обща информация
State, Състояние
"-- Order status --", "-- Статус на поръчката --"
ID, ID
Order ID, ID на поръчката
Payment Method, Метод на плащане
Reference ID, Референтен ID
Api Mode, Режим на Api
Actions, Действия
Created At, Създадено на
Mondu: Invoice orders, Mondu: Поръчки на фактури
Mondu: Sync orders, Mondu: Синхронизиране на поръчки
Information on the processing of your personal data by Mondu GmbH can be found <a href='https://www.mondu.ai/de/datenschutzgrundverordnung-kaeufer/' target='_blank'>here.</a>, Информация за обработката на Вашите лични данни от Mondu GmbH можете да намерите <a href='https://www.mondu.ai/gdpr-notification-for-buyers/' target='_blank'>тук</a>.
"This invoice was created in accordance with the general terms and conditions of <strong>%1</strong> and <strong>Mondu GmbH</strong> for the purchase on account payment model.", Тази фактура е създадена в съответствие с общите условия на <strong>%1</strong> и <strong>Mondu GmbH</strong> за модела на плащане покупка по сметка"."
"Since you have chosen the payment method to purchase on account with payment via SEPA direct debit through Mondu, the invoice amount will be debited from your bank account on the due date.", Тъй като сте избрали метода на плащане за покупка по сметка с плащане чрез SEPA директен дебит чрез Mondu, сумата по фактурата ще бъде дебитирана от банковата ви сметка на датата на падежа.
"Before the amount is debited from your account, you will receive notice of the direct debit. Kindly make sure you have sufficient funds in your account.", Преди сумата да бъде дебитирана от сметката ви, ще получите уведомление за директния дебит. Моля, уверете се, че разполагате с достатъчно средства в сметката си.
"This invoice is created in accordance with the terms and conditions of <strong>%1</strong> modified by <strong>Mondu GmbH</strong> payment terms. Please pay to the following account:", Тази фактура е създадена в съответствие с условията на <strong>%1</strong>, променени от условията за плащане на <strong>Mondu GmbH</strong>. Моля, платете по следната сметка:
"This invoice was created in accordance with the general terms and conditions of <strong>%1</strong> and <strong>Mondu GmbH</strong> for the instalment payment model.", Тази фактура е създадена в съответствие с общите условия на <strong>%1</strong> и <strong>Mondu GmbH</strong> за модела на разсрочено плащане.
"Since you have chosen the instalment payment method via SEPA direct debit through Mondu, the individual installments will be debited from your bank account on the due date.", Тъй като сте избрали метода за разсрочено плащане чрез директен дебит SEPA чрез Mondu, отделните вноски ще бъдат дебитирани от банковата ви сметка на датата на падежа.
"Before the amounts are debited from your account, you will receive notice regarding the direct debit. Kindly make sure you have sufficient funds in your account. In the event of changes to your order, the instalment plan will be adjusted to reflect the new order total.", Преди да бъдат дебитирани сумите от сметката ви, ще получите уведомление за директния дебит. Моля, уверете се, че разполагате с достатъчно средства в сметката си. В случай на промени в поръчката ви, планът за разсрочено плащане ще бъде коригиран, за да отрази новата обща сума на поръчката.
<strong>Account holder:</strong> %1, <strong>Титуляр на сметката:</strong> %1
<strong>IBAN:</strong> %1, <strong>IBAN:</strong> %1
<strong>BIC:</strong> %1, <strong>BIC:</strong> %1
<strong>Payment reference:</strong> %1, <strong>Референция за плащане:</strong> %1
<strong>Payment term:</strong> %1 days, <strong>Срок на плащане:</strong> %1 дни

"Invoice (30 days)","банков превод (30 дни)"
"SEPA direct debit (30 days)","директния дебит SEPA (30 дни)"
"Installments (3, 6, 12 months)","разсрочено плащане (3, 6, 12 месеци)"
"Installments (3, 6, 12 months) via Bank Transfer","разсрочено плащане чрез банков превод (3, 6, 12 месеци)"
"Instant Pay","прямо плащане"

"Bank Transfer Title","Заглавие банков превод" 
"SEPA Direct Debit Title","Заглавие директния дебит SEPA"
"Installments Title","Заглавие разсрочено плащане"
"Installments by Invoice Title","Заглавие разсрочено плащане чрез банков превод"
"Pay Now Title","Заглавие прямо плащане"

"Enable Bank Transfer","Активиране на банков превод"
"Enable SEPA Direct Debit","Активиране на директния дебит SEPA"
"Enable Installments","Активиране на разсрочено плащане"
"Enable Installments By Invoice","Активиране на разсрочено плащане чрез банков превод"
"Enable Pay Now","Активиране на прямо плащане"

"Bank Transfer Description","Описание банков превод"
"SEPA Direct Debit Description","Описание директния дебит SEPA"
"Installments Description","Описание разсрочено плащане"
"Installments by Invoice Description","Описание разсрочено плащане чрез банков превод"
"Pay Now Description","Описание прямо плащане"

"Bank Transfer Sort Order","поредност банков превод"
"SEPA Direct Debit Sort Order","поредност директния дебит SEPA"
"Installments Sort Order","поредност разсрочено плащане"
"Installments By Invoice Sort Order","поредност разсрочено плащане чрез банков превод"
"Pay Now Sort Order","поредност прямо плащане"

"Mondu: Order has been declined","Mondu: Поръчката е отказана"
"Mondu: Unfortunately, we cannot offer you this payment method at the moment.
Please select another payment option to complete your purchase.","Mondu: За съжаление в момента не можем да ви предложим този начин на плащане за вашата покупка.
Моля, изберете друг начин на плащане, за да завършите поръчката."
"Mondu: Order Status changed to Payment Review because it needs manual confirmation","Mondu: Статусът на поръчката е променен на Преглед на плащането, защото е необходимо ръчно потвърждение"
"Mondu: Order Status changed to Payment Review by a webhook","Mondu: Статусът на поръчката е променен на Преглед на плащането от уебхук"
"Mondu: Order Status changed to Processing by a webhook","Mondu: Статусът на поръчката е променен на Обработка от уебхук"
"Unregistered topic","Нерегистрирана тема"
"Order not found: %1","Поръчката не е намерена: %1"
"Missing external_reference_id for signature validation","Липсва external_reference_id за валидиране на подписа"
"Missing X-Mondu-Signature header","Липсва заглавие X-Mondu-Signature"
"Signature validation failed for all stores","Валидирането на подписа е неуспешно за всички магазини"
<strong>Bank:</strong> %1,<strong>Банка:</strong> %1
<strong>Sort Code:</strong> %1,<strong>Код на клона:</strong> %1
<strong>Account Number:</strong> %1,<strong>Номер на сметка:</strong> %1
